,City,State,Counts
0,San Jose,CA,159
1,Armonk,NY,156
2,San Francisco,CA,154
3,Santa Clara,CA,152
4,San Diego,CA,140
5,Mountain View,CA,124
6,New York,NY,122
7,Seattle,WA,87
8,Chicago,IL,72
9,Houston,TX,71
10,Dearborn,MI,70
11,Cupertino,CA,67
12,Redmond,WA,63
13,Boise,ID,63
14,Charlotte,NC,59
15,Atlanta,GA,58
16,Cambridge,MA,53
17,Austin,TX,50
18,Menlo Park,CA,49
19,Palo Alto,CA,48
20,Boston,MA,47
21,McLean,VA,44
22,Wilmington,DE,41
23,Santa Monica,CA,36
24,Dallas,TX,36
25,Washington,DC,31
26,Sunnyvale,CA,30
27,Philadelphia,PA,30
28,Spring,TX,29
29,Minneapolis,MN,29
30,Las Vegas,NV,29
31,Hopkinton,MA,29
32,Detroit,MI,28
33,Plano,TX,27
34,Irvine,CA,27
35,Bellevue,WA,27
36,Denver,CO,26
37,Mansfield,MA,25
38,Oakland,CA,24
39,Chesterfield,MO,24
40,Farmington,CT,23
41,Arlington,VA,22
42,Cincinnati,OH,22
43,Pittsburgh,PA,21
44,Schenectady,NY,21
45,Beaverton,OR,20
46,Scottsdale,AZ,20
47,Redwood City,CA,19
48,Redwood Shores,CA,19
49,San Mateo,CA,19
50,Auburn Hills,MI,19
51,Waltham,MA,19
52,Torrance,CA,18
53,Indianapolis,IN,18
54,Milwaukee,WI,17
55,Benton Harbor,MI,17
56,Carlsbad,CA,17
57,Peoria,IL,16
58,San Antonio,TX,15
59,Suwanee,GA,15
60,New Holland,PA,15
61,Durham,NC,15
62,Pleasanton,CA,15
63,Los Angeles,CA,15
64,Plantation Gardens,FL,15
65,Round Rock,TX,14
66,Broomfield,CO,14
67,Bozeman,MT,14
68,Phoenix,AZ,14
69,Raleigh,NC,14
70,Foster City,CA,13
71,Madison,WI,13
72,Los Altos,CA,13
73,Addison,TX,13
74,Hickory,NC,13
75,Okabena,MN,13
76,Fort Lauderdale,FL,12
77,Moline,IL,12
78,Jalan Pedongkelan,NJ,12
79,Brookfield,WI,11
80,Purchase,NY,11
81,Melbourne,FL,11
82,Boca Raton,FL,11
83,Franklin Lakes,NJ,11
84,Chandler,AZ,11
85,Salt Lake City,UT,11
86,Bentonville,AR,11
87,Pasadena,CA,11
88,Sugar Land,TX,11
89,Fremont,CA,10
90,Columbus,OH,10
91,Reston,VA,10
92,Corning,NY,10
93,Milpitas,CA,10
94,Providence,RI,10
95,Santa Rosa,CA,10
96,Stamford,CT,9
97,Maple Grove,MN,9
98,Columbus,IN,9
99,Rochester,NY,9
100,Cleveland,OH,9
101,Kalamazoo,MI,9
102,Monet,FL,9
103,Wauwatosa,WI,8
104,Burlington,MA,8
105,Winston-Salem,NC,8
106,South Burlington,VT,8
107,Greensboro,NC,8
108,Alpharetta,GA,8
109,Ann Arbor,MI,8
110,Bedford,MA,8
111,Newport Beach,CA,7
112,South San Francisco,CA,7
113,Englewood,CO,7
114,Colorado Springs,CO,7
115,Grand Rapids,MI,7
116,Tinley Park,IL,7
117,Northbrook,IL,7
118,McNeil,CA,7
119,Brooklyn,NY,7
120,Monrovia,CA,7
121,Rockville,MD,7
122,Richmond,VA,7
123,Raynham,MA,7
124,Warsaw,IN,7
125,Framingham,MA,7
126,Memphis,TN,6
127,Cedar Rapids,IA,6
128,Malvern,PA,6
129,Norwalk,CT,6
130,Livermore,CA,6
131,Campbell,CA,6
132,Overland Park,KS,6
133,Bloomington,IL,6
134,Burbank,CA,6
135,Shelton,CT,6
136,Huntsville,AL,6
137,Eden Prairie,MN,6
138,Southfield,MI,6
139,West Lafayette,IN,6
140,Glenview,IL,6
141,Tucson,AZ,5
142,Germantown,MD,5
143,Charlottesville,VA,5
144,Middleton,WI,5
145,Tampa,FL,5
146,Chimney Lakes,FL,5
147,Troy,MI,5
148,Jacksonville,FL,5
149,Tulsa,OK,5
150,Twin Lakes,CA,5
151,Fort Collins,CO,5
