,assignee_city,assignee_state,assignee_country,assignee_key_id,patent_number,patent_title
0,Moline,IL,US,110,11617292,Method for controlling the operation of an attachment
1,Moline,IL,US,110,11617293,Hitch assembly for a work vehicle
2,New Holland,PA,US,278,11617294,Orientation control system for an agricultural implement
3,Tremont,IL,US,11209,11617295,Dynamic supplemental downforce control system for planter row units
4,Moline,IL,US,110,11617297,Agricultural vehicle-trailer combination
5,New Holland,PA,US,278,11617298,Agricultural product delivery applicator with a pneumatic conveying system having a distributor assembly
6,Tifton,GA,US,37975,11617299,"System and method for regulating and dispensing seeds, fertilizer, and other items"
7,New Holland,PA,US,278,11617300,Locking mechanism for an agricultural header
8,Frederick,MD,US,97721,11617302,Lawn mower with improved cutter deck structure
9,New Holland,PA,US,278,11617303,Method and system for controlling the height of an agricultural implement relative to the ground
10,New Holland,PA,US,278,11617304,Staggered harvester head reel position adjustment
11,New Holland,PA,US,278,11617305,Crop ramps for combine headers
12,New Holland,PA,US,278,11617306,Device comprising a motorized conveyor for conveying a flow of harvested crop based on device inclination
13,Moline,IL,US,110,11617307,Net guide for upper rollers of round baler
14,Duluth,GA,US,11708,11617308,Baling apparatus
15,Scottsdale,AZ,US,134026,11617309,Automated vertical plant cultivation system
16,Newtown Square,PA,US,464481,11617310,Modular flower walls
17,Cary,NC,US,504539,11617316,Apparatus and methods for a hydroponics system with enhanced heat transfer
18,Chesterfield,MO,US,611,11617317,Lettuce variety SVLD0033
19,Chesterfield,MO,US,611,11617319,Melon hybrid SVMF8179 and parents thereof
20,Chesterfield,MO,US,611,11617320,Cucumber hybrid DRCE9615 and parents thereof
21,Florham Park,NJ,US,91690,11617330,Soybean variety 61286068
22,West Point,IA,US,4285,11617332,Soybean cultivar 03070412
23,West Point,IA,US,4285,11617333,Soybean cultivar 08150606
24,Chesterfield,MO,US,1155,11617335,Cotton variety 19R249B3XF
25,Chesterfield,MO,US,1155,11617336,Cotton variety 19R254B3XF
26,Chesterfield,MO,US,611,11617337,Tomato hybrid SVTM9000
27,Chesterfield,MO,US,611,11617338,Tomato hybrid SVTH3053
28,Chesterfield,MO,US,611,11617339,Tomato hybrid SVTM9025
29,Chesterfield,MO,US,611,11617340,Tomato hybrid SVTJ7513
30,Chesterfield,MO,US,611,11617341,Tomato hybrid SVTH3532
31,Chesterfield,MO,US,611,11617342,Tomato hybrid SVTE7216
32,Sycamore,IL,US,6836,11617345,Robotic rotational grazing system
33,Fresno,CA,US,34104,11617349,Systems and methods for filling and flushing animal footbaths
34,Toledo,OH,US,313315,11617353,Animal sensing system
35,Avondale,AZ,US,374126,11617354,Multi-phasic integrated super-intensive shrimp production system
36,Tarrytown,NY,US,6653,11617357,Humanized light chain mice
37,Jefferson,GA,US,379177,11617361,Weighted lures and methods for making weighted lures
38,Indianapolis,IN,US,3919,11617362,Pest control system and method of operating same
39,Midland,MI,US,1013,11617366,Solvents for agricultural applications and pesticide formulations
40,Armonk,NY,US,86,11617367,Antimicrobial polymers capable of supramolecular assembly
41,Singapore,,SG,5136,11617367,Antimicrobial polymers capable of supramolecular assembly
42,Houston,TX,US,153527,11617368,Stable S-(+)-abscisic acid nonaqueous liquid solutions
43,Baton Rouge,LA,US,229,11617369,Antimicrobial gallium compounds and methods
44,New York,NY,US,48453,11617371,Dough press
45,Trumbull,CT,US,443909,11617372,Interlocking baked food brick
46,Chicago,IL,US,35458,11617375,Methods for making shelf-stable cultured dairy products
47,Needham,MA,US,2172,11617378,Micro puree machine
48,Atlanta,GA,US,1325,11617381,Systems and methods for bottling still flavored water
49,Baton Rouge,LA,US,229,11617382,Palatable foods for a methionine-restricted diet
50,Phoenix,AZ,US,125319,11617389,Tobacco/herb grinding and loading device and method therefor
51,Cincinnati,OH,US,78,11617397,Pant-type wearable article
52,Las Vegas,NV,US,76396,11617399,Multi-layer nursing garment
53,Hudson,MA,US,162950,11617400,Infant anti-flail garment
54,Dearborn,MI,US,217,11617403,Face shield manufacturing method and assembly
55,Burlington,CO,US,363092,11617411,Anti-infective shoe soles
56,Beaverton,OR,US,1143,11617412,Foot support systems including tiltable forefoot components
57,Beaverton,OR,US,1143,11617413,Methods of manufacturing articles having foam particles
58,Beaverton,OR,US,1143,11617417,Shoe upper having multiple weld zones
59,Beaverton,OR,US,1143,11617418,Upper structure for article of footwear and article of footwear
60,Beaverton,OR,US,1143,11617420,Strap system for article of footwear
61,Beaverton,OR,US,1143,11617422,Cleat structure for article of footwear
62,Beaverton,OR,US,1143,11617423,Footwear midsole and method of manufacturing with embroidery machine
63,New York,NY,US,97235,11617425,Jewelry pieces and methods of manufacture and use thereof
64,Stamford,CT,US,5584,11617427,Hair clip
65,Cincinnati,OH,US,78,11617432,Hole perforation plate for manufacturing of a toothbrush head and part thereof
66,Tempe,AZ,US,168671,11617433,Height-adjustable desk
67,Beaverton,OR,US,115543,11617436,Secure medical cabinet
