school_name,city,state,zip_code,latitude,longitude,endowment_begin,endowment_end,endowment_diff
University of Alabama at Birmingham,Birmingham,AL,35294-0110,33.505697,-86.799345,711616804,673320170,-38296634
Amridge University,Montgomery,AL,36117-3553,32.362609,-86.17401,174817,174819,2
University of Alabama in Huntsville,Huntsville,AL,35899,34.724557,-86.640449,100321016,87756960,-12564056
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,130589167,108202146,-22387021
The University of Alabama,Tuscaloosa,AL,35487-0100,33.211875,-87.545978,1237611651,1144632976,-92978675
Central Alabama Community College,Alexander City,AL,35010,32.92478,-85.945266,146977,144975,-2002
Athens State University,Athens,AL,35611,34.806793,-86.964698,5701551,4982337,-719214
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.36736,-86.177544,64217660,57070175,-7147485
Auburn University,Auburn,AL,36849,32.599378,-85.488258,993955140,911152148,-82802992
Birmingham-Southern College,Birmingham,AL,35254,33.513774,-86.850552,53984787,50831353,-3153434
Chattahoochee Valley Community College,Phenix City,AL,36869,32.42391,-85.031485,49698,49698,0
Enterprise State Community College,Enterprise,AL,36330-1300,31.297496,-85.836956,17221,17239,18
Faulkner University,Montgomery,AL,36109-3390,32.384181,-86.21641,21332492,20765130,-567362
Gadsden State Community College,Gadsden,AL,35903,33.994001,-85.991438,4191039,3461273,-729766
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,31.315274,-85.465836,162756,160538,-2218
Huntingdon College,Montgomery,AL,36106-2148,32.351034,-86.284366,60206711,57163022,-3043689
Heritage Christian University,Florence,AL,35630-9977,34.856153,-87.663051,15150265,14385884,-764381
Jacksonville State University,Jacksonville,AL,36265,33.822938,-85.765321,15173146,14258774,-914372
Jefferson State Community College,Birmingham,AL,35215-3098,33.652535,-86.707233,1384755,1360645,-24110
John C Calhoun State Community College,Tanner,AL,35671,34.645844,-86.949674,9059221,7340517,-1718704
Lawson State Community College,Birmingham,AL,35221-1717,33.450814,-86.888844,586400,599017,12617
University of West Alabama,Livingston,AL,35470,32.588132,-88.186329,428978,428997,19
